		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
111011010  256  277  241  243  274  226  269  248  9.983749 0.266168 SUCCESS 130
111011100  263  261  258  266  234  242  227  286 11.403257 0.179880 SUCCESS 131
111100000  250  270  293  267  249  239  261  236 12.325374 0.137266 SUCCESS 132
111100010  284  266  269  215  238  247  281  265 17.952202 0.021588 SUCCESS 133
111100100  255  261  267  269  252  273  218  237 10.438602 0.235580 SUCCESS 134
111100110  265  243  267  213  250  245  250  286 13.461341 0.096931 SUCCESS 135
111101000  246  231  225  254  238  264  255  253  5.754836 0.674672 SUCCESS 136
111101010  264  247  236  270  268  254  271  256  6.702812 0.569010 SUCCESS 137
111101100  280  229  242  256  243  227  248  240  8.779127 0.361270 SUCCESS 138
111101110  281  267  261  273  239  256  246  264  9.398958 0.309766 SUCCESS 139
111110000  256  247  262  258  245  260  230  237  3.917455 0.864493 SUCCESS 140
111110010  244  271  246  264  241  272  214  250 10.550570 0.228487 SUCCESS 141
111110100  254  256  249  280  220  275  254  261 10.825576 0.211780 SUCCESS 142
111110110  256  252  229  252  242  233  261  252  3.981325 0.858804 SUCCESS 143
111111000  263  241  264  257  243  251  245  234  3.417220 0.905518 SUCCESS 144
111111010  233  271  241  274  217  263  266  283 16.514335 0.035583 SUCCESS 145
111111100  256  231  258  259  250  245  238  270  4.597535 0.799598 SUCCESS 146
111111110  258  243  277  262  228  249  242  258  6.617867 0.578366 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 249.984375	M = 128000	N = 8	m = 9	n = 1024000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  260  268  246  247  256  258  244  242  2.687879 0.952394 SUCCESS   0
000000011  273  255  224  256  244  256  239  213 11.695329 0.165324 SUCCESS   1
000000101  249  252  256  231  253  238  264  281  7.086295 0.527351 SUCCESS   2
000000111  258  259  214  256  256  244  251  240  6.823830 0.555754 SUCCESS   3
000001001  237  293  252  233  251  237  260  263 11.381147 0.181024 SUCCESS   4
000001011  277  271  270  231  260  216  252  263 13.906756 0.084228 SUCCESS   5
000001101  236  266  230  253  243  255  271  274  8.079782 0.425716 SUCCESS   6
000001111  234  258  228  266  233  250  243  239  6.278343 0.616084 SUCCESS   7
000010001  250  255  283  244  232  258  251  234  7.427499 0.491287 SUCCESS   8
000010011  242  253  255  259  229  249  256  243  2.919184 0.939326 SUCCESS   9
000010101  250  278  254  245  243  251  267  254  4.887539 0.769526 SUCCESS  10
000010111  265  269  236  248  237  236  253  269  6.294634 0.614265 SUCCESS  11
000011001  274  252  238  233  251  284  249  244  9.134424 0.331083 SUCCESS  12
000011011  252  255  245  243  244  253  284  271  7.225802 0.512478 SUCCESS  13
000011101  259  253  247  255  255  262  256  236  2.175103 0.975168 SUCCESS  14
000011111  249  264  247  267  247  234  274  247  5.568525 0.695437 SUCCESS  15
000100011  264  264  273  242  229  260  247  239  6.853826 0.552483 SUCCESS  16
000100101  244  262  261  216  217  221  267  265 16.133826 0.040504 SUCCESS  17
